date,open,close,high,low,volume,amount,amplitude,pct_change,change,turnover
2025-01-02,5.975,5.977,5.981,5.96,2330729,1391842464.0,0.35,0.83,0.049,1.98
2025-01-03,6.02,6.029,6.034,6.012,2759129,1661519900.0,0.37,0.87,0.052,2.35
2025-01-06,6.023,5.99,6.025,5.984,2980850,1789609736.0,0.68,-0.65,-0.039,2.54
2025-01-07,5.992,6.0,6.009,5.987,2177729,1305979331.0,0.37,0.17,0.01,1.85
2025-01-08,6.01,6.03,6.031,6.01,1604733,965957916.0,0.35,0.5,0.03,1.37
2025-01-09,6.038,6.065,6.066,6.032,1566054,946209476.0,0.56,0.58,0.035,1.33
2025-01-10,6.078,6.105,6.109,6.075,2414847,1470619550.0,0.56,0.66,0.04,2.06
2025-01-13,6.105,6.12,6.133,6.104,3530893,2160358184.0,0.48,0.25,0.015,3.01
2025-01-14,6.07,6.068,6.075,6.062,2869200,1740951031.0,0.21,-0.85,-0.052,2.44
2025-01-15,6.075,6.102,6.109,6.07,2386864,1452719737.0,0.64,0.56,0.034,2.03
2025-01-16,6.139,6.122,6.141,6.11,2413133,1478521166.0,0.51,0.33,0.02,2.05
2025-01-17,6.146,6.139,6.162,6.136,2479820,1524953624.0,0.42,0.28,0.017,2.11
2025-01-20,6.091,6.127,6.131,6.089,1982195,1210507375.0,0.68,-0.2,-0.012,1.69
2025-01-21,6.102,6.127,6.131,6.102,1954421,1196663049.0,0.47,0.0,0.0,1.66
2025-01-22,6.17,6.181,6.215,6.169,2967705,1836180883.0,0.75,0.88,0.054,2.53
2025-01-23,6.183,6.187,6.194,6.18,1923679,1190173543.0,0.23,0.1,0.006,1.64
2025-01-24,6.209,6.218,6.225,6.199,2274922,1413858397.0,0.42,0.5,0.031,1.94
2025-01-27,6.218,6.202,6.218,6.181,2288187,1417961910.0,0.6,-0.26,-0.016,1.95
2025-02-05,6.4,6.439,6.441,6.385,3670161,2354135637.0,0.9,3.82,0.237,3.13
2025-02-06,6.441,6.402,6.454,6.4,3053181,1965257147.0,0.84,-0.57,-0.037,2.6
